name,description
Siam Culinary Academy,"Siam Culinary Academy in Bangkok offers multi‑week Thai cooking courses for professionals and enthusiasts. Modules cover central, southern, northern, Isan, and street‑food styles. Students learn from scratch with chef guidance and practice each day. Programs range from two to five weeks with defined curricula. Course pages describe topics and weekly structure. Instruction emphasizes authentic recipes and regional diversity. Facilities include dedicated teaching kitchens. Enrollment and contact details are provided on the official site. Schedules for upcoming intakes are updated online. As of 2025, regular cohorts continue to run in Bangkok."
Bluekoff Coffee Academy,"Bluekoff Coffee Academy in Bangkok runs barista and brewing classes led by certified instructors. Course pages list training modules, instructors, and calendars. Workshops cover espresso extraction, latte art, and filter brewing. The academy provides professional equipment for practice. Small classes focus on technique and consistency. Participants receive learning materials for continued practice. Schedules show frequent sessions across the month. Corporate and advanced training options are available. Classes are suitable for beginners and working baristas. As of 2025, the public course schedule and sign‑up pages are active."
Boncafe Academy Thailand (Bangkok),"Boncafe Academy offers barista and café training courses at its Bangkok campus. The public schedule lists dates for barista skills, brewing, and latte art. Courses are designed for aspiring baristas and café staff. Training uses commercial equipment and standardized curricula. Instructors provide hands‑on practice and evaluation. Certificates are issued for certain modules. Booking is available online with monthly calendars. The academy also supports corporate training on request. Locations and contact details are shown for the Bangkok center. As of 2025, multiple courses run each month per the published schedule."
% Arabica Thailand – Barista Workshop,"% Arabica Thailand periodically offers short barista workshops at select Bangkok stores. Booking pages list class price, duration, and available dates. Sessions introduce espresso fundamentals and milk texturing. Small groups practice on the brand’s espresso machines. The workshop is designed for beginners and coffee fans. Attendees receive guidance from in‑store trainers. Classes run on set dates that open for reservation online. Locations are detailed on the class booking page. Participants can ask questions and taste test throughout. As of 2025, new workshop dates appear on the official booking platform."
Wine & Spirit IQ – WSET Courses (Bangkok),"Wine & Spirit IQ runs in‑person WSET wine courses in Bangkok throughout 2025. The schedule includes Level 1, Level 2, and Level 3 Awards in Wines on specific weekends. Course pages publish fees, dates, and exam information. Instruction follows WSET specifications with tasting practice. Classes are open to hospitality professionals and enthusiasts. Enrollment is available online with limited seats. Study materials are provided in advance of sessions. Course locations and contact information are listed for Bangkok. The provider is part of the city’s network of WSET educators. As of 2025, multiple cohorts are scheduled through December."
Beer IQ – WSET Beer & Beer Workshops,"Beer IQ in Bangkok provides WSET beer courses and beer‑focused workshops. The program aims to build structured tasting and beer knowledge. Classes are suitable for enthusiasts and beverage professionals. Schedules, venue address, and contact details are published online. The organization shares facilities with Wine & Spirit IQ. Instruction covers styles, service, and sensory evaluation. Small groups encourage discussion and questions. Certificates are awarded for WSET course completions. Registration is available via the website and partner links. As of 2025, Beer IQ lists ongoing intakes in Bangkok."
Siam Carving Academy – Fruit & Vegetable Carving,"Siam Carving Academy offers Thai fruit and vegetable carving classes in Bangkok. Students learn decorative carving techniques from master carvers. Workshops range from short three‑hour sessions to full‑day programs. Classes are designed for beginners and culinary professionals. Tools and practice produce are provided during lessons. Participants take home a Thai carving knife after certain classes. Booking is available via the academy’s website and partners. The studio is set up for small‑group instruction. Courses are offered regularly across the calendar year. As of 2025, carving workshops run on multiple days each week."
Amita Thai Cooking Class,"Amita Thai Cooking Class hosts intimate, canal‑side cooking sessions at a family home. Guests learn Thai recipes in a garden setting with traditional tools. Classes emphasize ingredient understanding and seasonal produce. Menus feature classic favorites and rotating dishes. Instruction is hands‑on with individual stations. Printed recipes and culinary tips are provided. Morning sessions often include a garden walk and herb talk. Group sizes are limited to maintain a personal experience. Booking and directions are published on the official site. As of 2025, Amita continues to welcome small groups by reservation."
Arun Thai Cooking (Bangkok),"Arun Thai Cooking School operates regular Thai cooking classes in Bangkok. Schedules show at least monthly sessions with menus that change by date. Courses are practical and suitable for beginners. Teachers explain core ingredients and seasoning balance. Participants cook multiple dishes at their own stations. Class pages provide pricing, dates, and booking instructions. The school also arranges longer DTV visa‑support packages. Facilities are set up for small groups and individual attention. Recipe materials are provided to take home. As of 2025, upcoming classes are listed publicly on the website."
ABC Cooking Studio Thailand (Bangkok branches),"ABC Cooking Studio runs membership‑based cooking and baking classes at Bangkok branches such as CentralWorld. Studios publish monthly calendars with numerous daily time slots. Class categories include cooking, bread, cake, and wagashi. Sessions are hands‑on and taught by ABC‑trained instructors. Booking is managed in the ABC app and on the website. Studios are equipped with home‑style stations for individual practice. Trial lessons are available for first‑time visitors. Recipe leaflets and technique notes are provided. Classes cater to all levels with small groups. As of 2025, Bangkok studios operate daily with frequent sessions."
