name,description
Poteri (.workshop),"Poteri is a Bangkok pottery workshop studio focused on handmade ceramics. The studio runs regular beginner‑friendly classes. Announcements, photos, and schedules are posted on its Facebook page. Sessions cover forming, trimming, and basic glazing. Small group sizes ensure individual attention. Materials and firing are provided as part of the workshop. The studio profile lists contact details for booking. Student work can be collected after firing. Updates indicate ongoing operations through 2025. Classes are suitable for hobbyists and first‑timers."
Attic Studios,"Attic Studios offers long‑running drawing and painting instruction in Bangkok. Classes include oil, acrylic, watercolor, and figure drawing options. Programs serve adults and children at different levels. The studio posts term schedules and workshop dates online. Private and small‑group lessons can be arranged. Teaching emphasizes technique, composition, and color. Facilities include easels, materials lists, and studio space. Student exhibitions and community events occur periodically. Registration and contact information are provided on the official site. As of 2025, Attic Studios continues regular weekly classes."
Paintbar Bangkok,"Paintbar Bangkok runs guided sip‑and‑paint sessions in Bangkok. Events are led by instructors who take guests step by step. The booking calendar shows daily themes and time slots. Sessions are beginner friendly and materials are provided. Private parties and corporate events can be arranged. The studio posts promotions and class bundles online. Locations and contact details are listed for Bangkok venues. Guests take home their finished canvas after the class. Information is presented in English and Thai on social media. As of 2025, weekly sessions run across the month."
ARTISTREE Recreation Art Studio,"ARTISTREE is an art studio in Bangkok offering kids’ and adults’ art courses. Programs include drawing, painting, and craft workshops. Studio posts class announcements and schedules on Facebook. Instruction targets foundational skills and creativity. Courses operate during school terms and holidays. Contact details and location are provided on the page. Group sizes are kept manageable for guidance. Materials are available or included depending on the course. Enrollment is handled via message or phone. As of 2025, the studio advertises ongoing classes."
Bangkok Art House,"Bangkok Art House hosts personalized art classes and creative workshops. Sessions are tailored to adults and children at all levels. The studio provides portfolio coaching and private lessons. A dedicated teacher plans individual learning programs. The website explains course types and booking methods. Classes cover drawing, painting, and specialized techniques. One‑to‑one and small‑group sessions are available. The venue lists clear contact information for inquiries. Programs run throughout the year by appointment. As of 2025, the studio continues to offer regular workshops."
RumPUREE – World Dance Studio,"RumPUREE is a Bangkok dance studio specializing in world dance styles. The timetable features belly dance, Bollywood, K‑pop, and more. Classes run on weekdays and weekends across levels. The studio also hosts workshops and performance events. Trial packages and class passes are available. Instructors are experienced performers and teachers. Schedules are published on the official website. Private lessons and group bookings can be arranged. The studio communicates in English and Thai. As of 2025, RumPUREE maintains an active class schedule."
Dance Centre – School of Performing Arts,"Dance Centre is a long‑standing Bangkok school of performing arts. The program includes ballet, jazz, tap, contemporary, hip‑hop, and more. Classes are offered for children through adults. Examinations and performance opportunities are part of the curriculum. Schedules and registration details are available online. Workshops and holiday intensives run seasonally. The school engages international syllabi and guest teachers. Facilities include sprung floors and mirrored studios. Multi‑level classes allow clear progression. As of 2025, the school runs daily classes during term."
Yoga Elements Studio,"Yoga Elements Studio is a central Bangkok yoga studio established in 2001. The studio offers Hatha, Vinyasa, Yin, and restorative classes. Timetables run daily for beginners to advanced students. Teachers emphasize alignment, breath, and mindfulness. Workshops and teacher trainings are scheduled periodically. The studio environment is quiet and minimal. Introductory passes and memberships are listed online. The location is convenient for central districts. Communication is in English with Thai support available. As of 2025, Yoga Elements continues regular classes and events."
Absolute You (Yoga & Pilates),"Absolute You is a Bangkok boutique fitness brand for yoga, Pilates, and rhythm cycling. Studios run hot yoga, flow classes, and reformer Pilates sessions. The brand operates multiple branches across the city. Timetables and package options are published online and in the app. Classes serve beginners through advanced practitioners. Instructors are certified and follow consistent standards. Studios provide equipment and amenities at select locations. Trial options and intro packs are available. Reviews note a large, established network in Bangkok. As of 2025, Absolute You offers daily classes citywide."
Bangkok Photography Workshop,"Bangkok Photography Workshop offers private and small‑group workshops led by photographer Nick McGrath. Street‑focused sessions take participants into Chinatown and other districts. Courses are tailored to goals and experience levels. Instruction covers shooting, seeing, and sequencing images. Participants receive mentoring and constructive critique. Workshops emphasize hands‑on exercises during urban exploration. Booking and instructor biography are published on the website. Sessions run on request through the year. Communication is available in English. As of 2025, the workshop continues to operate in Bangkok."
Photography School Asia (Bangkok),"Photography School Asia runs personal tuition and small‑group workshops in Bangkok. Programs include studio lighting, portrait, fashion, food, and product photography. Courses can be customized from basic to advanced levels. A fully equipped professional studio is used for practical lessons. Teaching covers lighting, metering, posing, and direction. One‑to‑one and group options are available. Schedules, course outlines, and booking are on the website. Workshops run throughout the year. Instruction is in English with local support. As of 2025, the school remains active in Bangkok."
Fame Lights Academy (Bangkok),"Fame Lights Academy offers photography workshops in Bangkok. Courses include product, food, and portrait photography with flash. Public and private workshop formats are available. Small group sizes emphasize hands‑on practice. Monthly foundations courses help beginners master camera basics. Sessions may include indoor studio practice and Chinatown fieldwork. Booking information, dates, and fees are posted online. The studio’s social channels announce new sessions. Workshops are taught by experienced instructors. As of 2025, the academy lists ongoing classes in Bangkok."
Leica Store Gaysorn – Leica Akademie Thailand,"Leica Store Gaysorn is the Bangkok hub for Leica in Thailand. The store team informs customers about photography classes and workshops. Leica Akademie programs are hosted by qualified instructors. Events cover camera operation, street photography, and creative topics. The store’s central location is steps from BTS Chit Lom. Workshops are announced via Leica channels and the store team. Sessions support beginners and enthusiasts using Leica systems. The venue includes a gallery area for photographic experiences. Contact details and hours are published on the Leica site. As of 2025, the Bangkok store continues to host Akademie workshops."
MasterClass Studio Bangkok,"MasterClass Studio is a performing arts school in Bangkok. It runs recurring Fundamentals of Acting courses for adults and teens. Programs typically span 12 sessions with clear start dates. Intermediate tracks include Acting for Film and a film‑creation club. Schedules, pricing, and enrollment are published on the website. The studio operates daily with extended hours. Coaching is led by an experienced acting coach and team. Private and group lessons in acting and stage skills are available. Showcases and community events highlight student work. As of 2025, MasterClass Studio advertises ongoing cohorts."
Curtain Up Studios (Bangkok),"Curtain Up Studios offers weekly creative classes in drama and performance for children and teens. Programs also include choir, K‑pop dance, magic, and creative clubs. The studio runs term‑time classes and holiday camps. Schedules and venues are listed on the official website. Classes are taught in English by experienced facilitators. Private school clubs and a Saturday school are part of the offer. Parents can browse age bands and book online. The organization shares updates on social media. Student performances are produced at the end of terms or camps. As of 2025, weekly classes operate across the city."
Bangkok Community Theatre (BCT),"Bangkok Community Theatre is a volunteer‑run English‑language theatre group. The troupe stages plays and musicals in Bangkok across the year. Workshops and community classes are offered periodically. Auditions are open to adults from diverse backgrounds. The group collaborates with venues and schools in the city. Announcements and schedules are posted on official pages. Members learn stagecraft from directing to backstage roles. Social events and outreach foster a creative community. Newcomers are welcome to participate at all levels. As of 2025, BCT continues to run productions and workshops."
Alliance Française Bangkok – Arts & Courses,"Alliance Française Bangkok is a cultural center with an auditorium and gallery. It offers a wide range of art courses alongside language classes. Regular arts programs include dance, fashion, interior, and creative workshops. The venue hosts plays, concerts, screenings, and festivals. Photography and film‑making courses appear on the curriculum. Facilities include a 200‑plus seat auditorium for performances. Programs welcome learners of all ages and backgrounds. Schedules and enrollment are published on the official site. The center collaborates with Thai and international artists. As of 2025, the arts program and events calendar are active."
