name,subcategory,description_full,source_url
Studio Lam (Sukhumvit 51),World-Music Bar & Venue,"Studio Lam is a compact world-music bar by the ZudRangMa crew that specializes in molam, Afro, disco, and eclectic global sounds. A custom sound system fills the narrow room, while the bar serves Thai-inspired cocktails and house sodas. On any given week you might hear vinyl selectors, live percussionists, or guest DJs from Europe and Japan. The crowd skews music-first, and the dance floor packs shoulder-to-shoulder for marquee nights. Advance tickets for special events appear on RA and Facebook, and the venue keeps late hours on weekends. It’s a cornerstone for Bangkok’s alternative and crate-digger scenes.",https://www.facebook.com/studiolambangkok/
CRIMSON ROOM: Live Show Program,Live Show Calendar,"Beyond cocktails, Crimson Room runs a robust live-music program spanning jazz vocalists, instrumental trios, and occasional electronic acts. Showtimes and rotating headliners are posted to the bar’s calendar, and seating near the stage is prioritized for early reservations. Sound and lighting are tuned for performance, so vocals carry clearly even on busy nights. Guests typically stay for multiple sets, ordering a progression of classic cocktails and bar snacks. Dress is smart without being stiff, and staff help manage flow so arrivals during performances are unobtrusive. Check the lineup before you go to match the night’s mood with your taste in music.",https://www.crimsonroombkk.com/show
Mikkeller Bangkok (Ekkamai),Craft Beer Bar,"Mikkeller Bangkok is a destination craft beer bar tucked into a quiet Ekkamai soi, offering rotating taps and an extensive bottle list. Expect a mix of European imports, local Thai micros, and limited releases showcased through curated flights. The atmosphere is low-key and residential, making it a relaxing counterpoint to louder nightlife streets. Knowledgeable staff help with styles and pairings, and seasonal tap takeovers are announced online. Outdoor seating and a townhouse layout make it feel more like a living room than a beer hall. It’s a reliable stop for beer geeks who want variety and conversation with fellow enthusiasts.",https://www.mikkeller.com/locations/mikkeller-bar-bangkok
Taproom (Sukhumvit 26),Craft Beer Bar,"Taproom on Sukhumvit 26 pours dozens of rotating taps alongside a broad bottle selection, positioning itself as a casual hub for Bangkok’s craft beer crowd. The venue lists styles clearly, from crisp pilsners and wheat beers to hop-forward IPAs and imperial stouts, so newcomers can explore confidently. Simple bar food and occasional collaborations with local breweries make it easy to linger with friends. Multiple sister locations and pop-ups appear around the city, but the Sukhumvit 26 branch remains the classic reference point. Happy-hour deals and limited-keg alerts are posted to social channels and the website. Its central location between Phrom Phong and Khlong Tan makes it easy to combine with nearby restaurants and bars.",https://www.taproombkk.com/
Balcony Pub & Karaoke (Silom Soi 4),LGBTQ+ Pub & Karaoke,"Balcony is a mainstay on Silom Soi 4 with outdoor tables, easygoing drinks, and nightly karaoke that warms up the alley before club hours. It’s a social hub for meeting friends, people-watching, and planning the next stop along Soi 2 or Soi 4. Service is quick, prices are clear, and staff help organize larger groups that need pushed-together tables. Theme nights and special promotions appear on social media, particularly on weekends and holidays. The venue attracts a broad mix of locals, expats, and travelers who want a relaxed start to the night. Arrive early to secure a street-side table with the best vantage point on the passing scene.",https://www.facebook.com/BalconyPubBangkok/
G.O.D. (Guys On Display),After-Hours Club (LGBTQ+),"G.O.D. is Bangkok’s late-late after-hours dance spot off Silom that opens after neighboring venues wind down. Inside a dark, split-level room, DJs drive a high-energy soundtrack of house, tech-house, and pop remixes that runs into the early morning. The crowd is mixed but predominantly LGBTQ+, and door checks are standard to manage capacity. Expect minimal frills—this is a dance-first room for those not ready to end the night at 2am. Hours and entry policies can shift with events and holidays, so check social updates before arrival. It pairs naturally with a bar warm-up on Silom Soi 4 and earlier dancing on Soi 2.",https://www.facebook.com/GODBKK/
Soi Cowboy (Entertainment Street),Street Party & Entertainment Zone,"Soi Cowboy is a neon-lit nightlife street near Asok that concentrates adult-oriented go-go bars and late-opening beer bars in a single pedestrian lane. The strip fills nightly with visitors moving between venues, while outdoor seating and open-front bars spill energy onto the street. Music leans commercial and loud, with security and door staff coordinating entry and capacity at each venue. Prices, drink deals, and hours vary, but most rooms are open well past midnight on weekends. Photography etiquette and dress are casual but respectful; posted house rules apply. It remains one of Bangkok’s most photographed nightlife corridors and a short walk from BTS and MRT links.",https://www.tripadvisor.com/Attraction_Review-g293916-d2492791-Reviews-Soi_Cowboy-Bangkok.html
Nana Plaza (Sukhumvit Soi 4),Adult Entertainment Complex,"Nana Plaza is a multi-level entertainment complex off Sukhumvit Soi 4 that houses dozens of bars around a central courtyard. The plaza is known for adult-themed venues and late hours, with capacities managed by security at the main entrance. Visitors typically move from ground-floor beer bars to upper levels as the night progresses. Dress is casual, and most venues post clear house rules and cover policies at the door. Food stalls and late-night eats cluster around the entrance for mid-session breaks. The official site and social pages post updates on opening hours, renovations, and special events.",https://nanaplazabkk.com/
Patpong Night Market & Bar Zone,Night Market & Entertainment Area,"Patpong combines a central night market with a dense grid of bars and music venues between Silom and Surawong roads. Stalls sell souvenirs and streetwear while adjacent alleys offer sports bars, live-music rooms, and adult-themed clubs. The market is busiest from early evening through midnight, and surrounding bars stay open later depending on the night. BTS Sala Daeng and MRT Si Lom put the area within easy reach for visitors staying in the city center. Expect lively crowds, bright neon, and a mix of tourists and regulars making circuits between stalls and bars. Vendors and venues post seasonal holiday hours and event specials across their social pages.",https://www.introducingbangkok.com/patpong-night-market
Balcony & Silom Soi 4 Bar Strip,LGBTQ+ Bar Street,"Silom Soi 4 is Bangkok’s most social LGBTQ+ bar strip, lined with open-front pubs and patios that fill before the clubs on Soi 2 kick off. Tables spill onto the lane, and staff quickly line up chairs for groups seeking a street-facing vantage point. Casual cocktails, beer towers, and happy-hour deals make bar-hopping easy without committing to cover charges. The crowd mixes locals, expats, and travelers, and the tone is welcoming and unpretentious. From here it’s a short walk to DJ Station, G.O.D., and late-night street food along Silom. Most venues keep regular updates on hours and promotions on Facebook and Instagram.",https://www.timeout.com/bangkok/lgbtq/silom-soi-2
