name,description
TIIHA (Thailand International Ice Hockey Arena),"TIIHA is Bangkok’s Olympic-size ice hockey arena located on Rama 9 Soi 19. The rink measures 60m × 30m and is suitable for hockey, figure skating, and public skating. Professional coaching and training programs are offered. The facility is popular for international competitions. Parking is available on-site. It is fully indoor and air-conditioned. Sessions can be reserved online. Gear rental and protective equipment are available. Located in Bangkapi district, accessible by taxi. Known as Bangkok’s most professional rink."
The Rink Ice Arena (CentralWorld),"The Rink Ice Arena at CentralWorld is a smaller indoor rink aimed at beginners and casual skaters. Located on the 7th floor, it is easy to reach by BTS Chit Lom or Siam. Skate rentals and walking aids are provided. Pricing is affordable for short sessions. Staff supervise safety for children. Open daily from late morning to evening. Convenient for combining with shopping at CentralWorld. Fully indoor and air-conditioned. Not Olympic-size but suitable for casual recreation. A popular tourist-friendly option."
Sub Zero Mega Bangna,"Sub Zero also operates a branch in Mega Bangna. It provides the same indoor ice skating experience as the Sukhumvit branch. Families often combine skating with shopping at the mall. Equipment rental is available on-site. Pricing and session times mirror other Sub Zero branches. Suitable for children and adults. Staff maintain safety and cleanliness. Indoor, air-conditioned environment. Accessible via shuttle bus or taxi. A reliable suburban option for skating."
Sub Zero Future Park Rangsit,Another Sub Zero branch located at Future Park Rangsit. Offers the same recreational skating programs with rental equipment. Popular with families and school groups in northern Bangkok. Pricing is affordable. Staff supervise beginners and provide instruction. Open daily with generous hours. Fully indoor and comfortable in all weather. Mall location makes it convenient to combine with shopping. Provides themed skating events during holidays. A safe and fun suburban rink.
BOUNCE Thailand (EmQuartier),"BOUNCE Thailand at EmQuartier is a large indoor trampoline park. It features dodgeball courts, slam dunk zones, and performance trampolines. Supervised by trained staff for safety. Grip socks required for entry. Suitable for children and adults. Online bookings are available and recommended. Fully air-conditioned and family-friendly. Open daily with varying hours. Conveniently located near BTS Phrom Phong. Popular on weekends and rainy days."
Amped Trampoline Park,"Amped Trampoline Park in Bangkok is known for power towers, wall climbing, and Olympic trampolines. There are dodgeball courts and slack lines as well. Supervised by instructors to maintain safety. Sessions are sold in time blocks. Grip socks and comfortable clothes are required. Indoor and fully air-conditioned. Pricing is moderate and competitive. Good for birthday parties and group bookings. Centrally located with easy access. A lively spot for families and teens."
BounceInc Bangkok,BounceInc Bangkok offers free-jump trampoline experiences in themed arenas. Suitable for both kids and adults. Areas are divided by activity level and age. Grip socks are required. Instructors supervise at all times. The park is indoors and climate-controlled. Bookings can be made online. Pricing is affordable. Popular for casual fun or fitness. Located within a mall complex.
HarborLand Trampoline Zone (Mega Bangna),HarborLand at Mega Bangna includes a trampoline section within its indoor playground. Safe and supervised by staff. Suitable for toddlers to teens. Fully air-conditioned. Part of a larger indoor family entertainment center. Grip socks mandatory. Families often combine visits with shopping. Affordable pricing. Bookings possible online. Busy on weekends and holidays.
Jump XL Thailand,"Jump XL Thailand is an indoor trampoline park located in Bangkok suburbs. It offers freestyle jump areas, dodgeball, and foam pits. Safe supervision is standard. Grip socks required. Popular for group events and birthdays. Pricing is moderate. Indoor and air-conditioned. Accessible by car. Bookings are advised during peak hours. Fun for all ages."
Urban Playground Climbing (The Racquet Club),"Urban Playground is Bangkok’s flagship climbing gym located in Sukhumvit’s Racquet Club. It offers bouldering, auto-belay, lead, and top-rope climbing. The facility is air-conditioned and modern. Staff provide intro lessons for beginners. Gear rental is available. Routes are reset regularly for variety. Suitable for children and adults. Amenities include lockers, showers, and a café. Open daily until late evening. Convenient access via BTS."
Stonegoat Climbing Gym,"Stonegoat is a popular bouldering-focused gym in Sukhumvit. Known for creative problems and frequent route updates. Friendly community atmosphere. Recently opened a large branch in The PARQ (2025). Suitable for all levels, from beginners to advanced climbers. Indoor and air-conditioned. Staff are supportive and provide guidance. Gear rentals are available. Prices are moderate. Accessible by BTS and public transport."
Balance Prime Bangkok,"Balance Prime is a boutique bouldering gym in Sathorn. Features over 100 routes across varied angles. The design is elegant with a lifestyle vibe. Amenities include a café, showers, and lockers. Frequent route resets keep it engaging. Indoor and air-conditioned. Welcoming to all levels. Suitable for after-work climbing. Centrally located in Bangkok. Membership and day passes available."
Rock Domain Climbing Gym,"Rock Domain in Bang Na is one of the largest climbing gyms in Thailand. It features tall lead walls (~20m), top rope, and extensive bouldering. Over 140 routes are available. Indoor and fully air-conditioned. Amenities include pro shop, café, and showers. Suitable for serious climbers as well as beginners. Staff ensure safety and guidance. Parking is available on-site. Less crowded than central gyms. Hosts group events and classes."
Dyno Rock (Siam Area),"Dyno Rock is a central, affordable climbing gym in Siam area. Offers simple rope and bouldering walls. Great for casual climbers and beginners. Staff are friendly and supportive. Gear rental available. Indoor and air-conditioned. Conveniently located near shopping and public transport. Pricing is budget-friendly. Open daily. Popular with students and young professionals."
