name,description
BOYY & SON Café (Gaysorn),"Designer café by Thai luxury label BOYY inside Gaysorn Village. Interiors echo the brand’s leather‑goods aesthetic in calm neutrals. Coffee is paired with a tight menu of pastries and light plates. Service is polished, matching the boutique retail environment. A good stop for fashion‑minded guests between errands. Ambient music and soft lighting make it linger‑friendly. Seating suits small meetings and relaxed solo breaks. The counter focuses on espresso and simple filter brews. It feels more like a salon than a traditional café. Great for a refined coffee break in Ratchaprasong."
Featherstone Bistro & Café (Ekkamai),"A whimsical, vintage‑apothecary‑themed café and bistro in Ekkamai. Stained glass, curios and dried flowers set an imaginative mood. Colorful sodas, coffee and all‑day plates anchor the menu. Desserts and ice‑cream sodas add nostalgic fun to the visit. Tables are spaced for conversations and extended hangs. Popular for birthdays, casual dates and photo lovers. Reservation helps at dinner and on weekends. Service is friendly and timing is unhurried. Expect a transportive, storybook vibe throughout. Come for playful aesthetics and easy comfort food."
Blue Whale Maharaj,"Tiny, photogenic café near Wat Pho known for its ‘blue latte’ using butterfly pea. Narrow stairs lead to compact seating across multiple floors. Natural light and sea‑blue paint make every corner camera‑ready. Menu features coffee, tea and a handful of simple plates. The signature latte tastes gentle, floral and lightly sweet. It is a popular stop after temple visits in the Old Town. Service is quick; turnover keeps the line moving. Expect a youthful, traveler‑friendly crowd during the day. Cashless payments are widely accepted at the counter. A classic for first‑time café‑hoppers in Phra Nakhon."
Wallflowers Café (Chinatown),"A beloved floral café on Soi Nana in Chinatown with a secret‑garden feel. Dried flowers and rustic textures set a romantic atmosphere. Cakes and coffee come with artful plating and gentle sweetness. The space connects to Wallflowers Upstairs, a sister bar. Daytime is calm and cozy; nights turn livelier next door. Photogenic nooks reward slow, unhurried visits. Staff are welcoming and used to photo‑happy guests. Great before or after a Chinatown food crawl. Seating is limited; arrive early on weekends. A crossover of café culture, floristry and vintage charm."
Oneday Wallflowers (Flower Shop & Café),"A flower shop turned café space associated with the Wallflowers cluster. Fresh bouquets, dried arrangements and sweets share the stage. Guests browse blooms while sipping coffee or tea. Light bites accompany a short list of drinks and cakes. The vibe is romantic, textured and softly lit. Expect many photo spots and creative set‑ups. Service is relaxed and unhurried in the floral rhythm. Ideal for gifting moments or quiet afternoon breaks. Links easily with other stops on Soi Nana Chinatown. A gentle, garden‑like pause in the city."
Gallery Drip Coffee (BACC),"Bangkok Art & Culture Centre’s longtime specialty coffee bar. Manual‑brew specialists serve single‑origin filter coffees. Beans are roasted with clarity and clean flavor goals. Art books, zines and ceramics complement the creative setting. Baristas discuss roast profiles and brewing recipes on request. Seating is casual, with museum‑goers drifting in and out. Pour‑over flights help compare origins and processes. This is a community hub for artists and coffee geeks alike. Great as a mid‑gallery break or focused tasting stop. An anchor of Bangkok’s third‑wave scene for years."
Roots at theCOMMONS (Thonglor),"Flagship branch of a Thai specialty roaster inside the Thonglor hub. The stall serves espresso, cold brew and seasonal Thai‑inspired drinks. Beans are sourced transparently from Thai and global farms. Simple pastries and ice‑cream sandwiches pair with coffee. A mezzanine seating area overlooks the lively courtyard. Ordering is fast and mobile‑friendly for regulars. Rotating signature drinks show playful, local flavors. Good for quick stops during market or brunch runs. A dependable anchor for café‑hopping in theCOMMONS. Consistent quality and friendly, efficient service."
Roots at Sathon,"A calm, neighborhood branch of the respected Thai roaster. Counter service emphasizes espresso and seasonal filters. Retail beans and gear are available for home brewers. Clean, wooden interiors keep the space warm and minimal. Menu includes easy pastries and ice‑cream sandwiches. Baristas are happy to suggest beans for your taste. Popular with office workers and weekend regulars. Seating fits short meet‑ups and solo work sessions. Expect steady, balanced extractions and clear flavor. A reliable daily coffee stop in Sathon."
Factory Coffee (Phaya Thai),"Award‑winning Bangkok coffee team known for competition‑grade beverages. The Phaya Thai café pours precise espresso with bold, clean flavors. Signature drinks and special lots appear throughout the year. Baristas explain origins, processes and extraction targets. Minimal‑industrial interiors keep focus on the cup. The brand also runs a roastery HQ elsewhere in Bangkok. Takeaway moves quickly in the morning rush. Seating supports short work sessions between trains. Expect excellence without unnecessary fuss. A must‑visit for serious espresso and signature builds."
Kaizen Coffee (Ekkamai),"Modern Australian‑leaning café with strong espresso and brunch plates. Sleek, bright interiors suit laptops and quick meetings. Menu runs from flat whites to thoughtful filter options. Food balances comfort with clean presentation and produce. Latte art and consistent extractions show tight training. Retail beans and gear are stocked for home setups. Baristas engage kindly with questions about recipes. Expect a steady local crowd on weekends. Location is walkable from Ekkamai’s main stretch. A polished all‑rounder for coffee and brunch."
La Cabra (Talad Noi),"Danish specialty roaster’s first Thailand outpost in historic Talad Noi. Scandinavian minimalism meets preserved, raw‑edge townhouse details. Menu spotlights clean espresso and filter with distinct clarity. Pastries lean Danish, with laminated favorites and seasonal items. Standing bar and simple seating encourage focused tasting. Beans and merchandise are displayed with gallery‑like restraint. Staff keep service warm, precise and quietly informative. The setting pairs well with a Talad Noi art walk. Expect a calm, light‑filled room and crisp brews. A benchmark for Nordic‑style coffee in Bangkok."
La Cabra (Silom Bakery),"Bakery‑led sibling of the Talad Noi café with strong coffee support. Morning lines form for laminated pastries and seasonal bakes. Espresso and batch brew stay clean and balanced. Neutral interiors and display cases create a calm rhythm. Menu clarity and portion sizes suit everyday stops. Friendly staff help with pairing suggestions for drinks. Popular with office crowds and weekend pastry runs. Takeaway packaging keeps items crisp for travel. Great gateway to La Cabra beans and style. Plan for a quick, delicious pastry‑and‑coffee stop."
Sarnies Bangkok (Charoen Krung),"Singapore‑born roastery and café inside a restored shophouse. Hearty sandwiches, brunch plates and specialty coffee anchor the menu. Industrial‑rustic interiors feel warm and unpretentious. Seasonal drinks riff on local fruits and spices. Crowds ebb and flow with nearby art events and riverside walks. Retail beans, cascara and brewing gear line the shelves. A good base for exploring Charoen Krung’s creative scene. Service is upbeat and efficient despite queue swings. A versatile stop for both coffee and real food. Reliable, all‑day energy in a characterful neighborhood."
Ink & Lion Café (Ekkamai),"A minimalist Ekkamai classic focused on calm, quality coffee. White walls, wood benches and curated records set the tone. Filter menu changes with fresh seasonal beans. Espresso runs clean, with balanced milk drinks. Baristas share brewing specs if you are curious. Retail shelves carry beans and small accessories. The room suits quiet reading and solo sessions. A steady neighborhood favorite for years. Expect understated hospitality and attention to detail. Come for honest cups without distractions."
Patom Organic Living (Sukhumvit 49),"A serene glass‑house café set in a leafy compound off Sukhumvit 49/6. Organic drinks and snacks use produce from the brand’s own farm. The design brings sunlight, greenery and reclaimed wood together. Reusable packaging and low‑waste habits reflect the ethos. Calm music and garden views promote slow pauses. Families, freelancers and design lovers share the space. Retail shelves stock body care and pantry items. Seasonal beverages spotlight Thai herbs and fruits. It feels restorative after busy Sukhumvit errands. A gentle, eco‑minded café for mindful breaks."
Pacamara Coffee Roasters (Thonglor),"Thai roaster with a precise espresso program and tidy interior. Baristas pull stable shots with chocolate‑nutty profiles. Filter offerings rotate through Thai and imported beans. Desserts and toasts round out an easy café menu. Seats fit short meetings, solo work and quick stops. Retail beans and drip kits are available at the counter. Service is brisk and professional during rush hours. Music stays low for comfortable conversations. A dependable Thonglor option with long‑time fans. Great for a straightforward, well‑made coffee."
Toby’s (Thonglor),"Australian‑style café known for bright brunch plates and smooth espresso. The interior is sunny, plant‑filled and relaxed. Flat whites, cold brew and fresh juices headline the drinks. Egg dishes and pancakes are crowd favorites at peak times. Service is friendly and timing is efficient. Families and groups often gather on weekends. Expect a cheerful hum and steady table turns. The location works well for café‑hopping nearby. A dependable pick for brunch plus coffee in Thonglor. Comforting, well‑presented plates match the easy vibe."
One Ounce for Onion (Ekkamai),"A coffee bar inside ONION’s lifestyle boutique on Ekkamai Soi 3. Menswear, magazines and coffee blend into one creative space. The bar serves classic espresso drinks and simple filters. Soundtrack and retail browsing add to the experience. Small tables and a counter suit short breaks. Fashion fans drop in between fittings and errands. Expect a low‑key, friendly service rhythm. Retail and café hours align for easy access. Good for a quick caffeine stop with style. A neat crossover of coffee and design retail."
Brave Roasters (Siam Discovery),A specialty coffee bar inside Siam Discovery with a modern aesthetic. Espresso and creative signatures share equal billing. Beans include Thai microlots and international origins. The counter is compact and efficient for mall traffic. Seating nearby works for quick chats and shopping breaks. Staff are upbeat and used to first‑time coffee explorers. Retail shelves sell beans and basic brew tools. Expect reliable extractions and bright milk drinks. Great for caffeine between Siam’s major malls. A convenient central stop with quality coffee.
Red Diamond Café (Lat Phrao),"Cult‑favorite roaster known for vivid signature drinks and serious espresso. The Lat Phrao café leans industrial with bar seating up front. Rotating beans and flavor‑forward creations draw regulars. Baristas keep a playful but precise approach at the bar. To‑go service is quick for commuters. Retail beans and seasonal bottles line the shelves. Expect strong flavors and photogenic pours. Parking and seating vary by time of day. Worth a detour for bold, distinctive profiles. A staple name in Bangkok’s specialty scene."
Ceresia Coffee Roasters (Phrom Phong),"Family‑run roastery and café tucked near Sukhumvit 33. Menu focuses on clean espresso and approachable filters. House roasts aim for balance and sweetness over extremes. Minimal décor keeps attention on the cup and service. Regulars pick up beans alongside morning coffee. Friendly baristas share simple home‑brew tips. Seating suits quick stops and relaxed conversations. A quiet counterpoint to busier nearby cafés. Reliable, gentle‑toned cups for everyday drinking. A neighborhood favorite for years."
Hands and Heart (Thonglor),"Monochrome, minimalist coffee bar known for precise pour‑overs. White‑and‑black interiors create a serene stage for coffee. Light, medium and dark filters rotate as beans change. Espresso program stays clean with tidy milk texture. The team shares brew specs if you are curious. A few bar seats encourage focused tastings. Retail shelves carry drippers and scales. Expect soft music and a contemplative mood. The shop suits brief, intentional coffee breaks. Great for design lovers who value clarity."
NANA Coffee Roasters (Ari),A greenhouse‑like garden café in Ari from the acclaimed Thai roaster. Signature drinks and creative brunch draw steady crowds. Single‑origin choices range from Thai lots to global beans. Natural light and wood keep the room bright and calm. Pastries and plated dishes make it a destination café. Baristas communicate clearly even during rushes. Retail beans and capsules are available to take home. Queues move briskly; earlier visits feel more relaxed. Ari’s creative vibe fits the brand’s style perfectly. A must for visually striking space plus quality coffee.
The Blooming Gallery (EmQuartier),"A floral‑themed tea and dessert café inside EmQuartier. Botanical décor and soft colors set a dreamy tone. Cakes, tarts and tea concoctions headline the menu. Seasonal items play with fruits, flowers and herbs. Service is gentle, with attention to presentation. Seating suits catch‑ups and celebration treats. Expect lines during peak shopping hours. Photogenic plating rewards patient sweet‑tooths. A romantic stop between mall errands. Best for dessert‑first moods with tea on the side."
Divana Signature Tea House (EmQuartier),"A refined tea salon from the spa brand with Thai‑inspired blends. Afternoon tea sets feature delicate sweets and savories. Aromatics play with jasmine, lemongrass and tropical fruits. Elegant interiors echo the brand’s wellness roots. Service is polished and timing is unhurried. Guests linger over multi‑tier stands and hot pots. Good for small celebrations and gentle conversations. Staff happily guide newcomers through blends. Located inside a central mall for easy access. A spa‑adjacent tea escape with local notes."
CHATA Specialty Coffee (Old Town),A photogenic café in a restored Sino‑Thai house near Wat Suthat. Tall glass roof floods the room with natural light. Menu leans to clean espresso and bright filter profiles. Signature drinks use Thai herbs and seasonal fruits. Pastries and light plates fit leisurely afternoons. Design details highlight reclaimed wood and brick. A favorite for architecture and coffee photography. Staff keep the flow smooth during photo rushes. Works well as a stop on an Old Town wander. Expect calm music and a golden afternoon glow.
Elefin Coffee (Rattanakosin),"Thai coffee brand with a café near the Grand Palace area. Menu features Thai single‑origin beans and classic espresso. Simple plates and Thai desserts pair with drinks. Air‑conditioned seating gives respite from the heat. Staff handle tourists kindly and efficiently. Beans and gifts make easy take‑home souvenirs. Great for fueling up during temple days. Prices stay moderate given the location. A practical, friendly specialty stop in Old Town. Consistent and convenient for heritage walks."
Luka (Sathorn),"A stylish café‑bistro in a converted shophouse on Pan Road. Comfort plates, salads and quality coffee form the core. Warm wood and soft lighting create a homey feel. Service is attentive, with timing good for business lunches. Desserts rotate with seasonal inspiration. Expect a mix of locals and travelers in the room. Takeaway coffees are steady during morning rush. Seating supports laptops between meetings. Reliable for both brunch and afternoon breaks. A neighborhood staple with friendly polish."
Luka Moto (Thonglor),"A collaboration café with a motorcycle‑lifestyle concept store. Espresso drinks, burgers and salads share the menu. Industrial‑retro décor frames bikes and gear displays. Music skews upbeat, giving the space an energetic mood. Bar seats and tables work for short hangs. Service is brisk and cheerful. Good for casual meet‑ups with a design twist. Parking and access are straightforward for Thonglor. Expect a lively, stylish café‑retail crossover. A fun detour for café‑hopping in Sukhumvit."
Roast (theCOMMONS Thonglor),"Brunch‑forward café‑restaurant with a dedicated coffee program. Espresso is well dialed, and filter options appear seasonally. Menu includes eggs, pasta, salads and pastries. Bright, open seating overlooks theCOMMONS courtyard. Service is efficient despite constant foot traffic. Retail coffee and desserts make easy takeaways. Works for groups and long catch‑ups. A polished anchor of the Thonglor café circuit. Expect consistent execution and balanced cups. Great when you need both real food and coffee."
Mother Roaster (Talad Noi),A characterful roastery‑café in Talad Noi with a cult following. The entrance hides a bright second‑floor bar and seating. Manual brews and espresso showcase careful roasting. Industrial details echo the neighborhood’s old garages. Staff guide tasting choices for curious visitors. Beans and drippers are available for home setups. Good pairing with a street‑art walk in the area. Expect lines at peak times; turnover is steady. Service stays friendly even during photo rushes. A memorable stop for coffee lovers exploring Chinatown.
Bluekoff Flagship (Bangna),"Bangkok roaster’s flagship with a training lab and gear retail. Menu covers espresso, pour‑over and seasonal signature drinks. Baristas teach basics to home brewers in short workshops. Clean, modern interiors keep focus on technique. Retail wall stocks grinders, kettles and scales. Parking and access suit quick coffee supply runs. Crowd mixes café‑goers and coffee pros. Expect stable extractions and clear tasting notes. A practical stop for upgrading home coffee gear. Strong choice for serious coffee in Bangna."
As.is Coffee Bar (Chinatown),"Intimate, design‑driven coffee bar on Soi Nana Chinatown. Low lighting and concrete textures set a moody tone. Menu favors neat espresso and spirit‑inspired signatures. Bar seating encourages close chat with baristas. Playlists and glassware elevate the experience. Small bites are minimal to keep focus on drinks. Great pre‑bar stop before nearby nightlife. Expect knowledgeable recommendations on beans. A niche pick for design‑minded coffee fans. Compact, atmospheric and quietly confident."
Siam Drip Co. (Siam Square),"Filter‑focused café showcasing hand‑drip methods in central Siam. Single‑origin lineup rotates with seasonal arrivals. Baristas brew to order with visible scales and timers. Clean, bright space suits tasting flights. Light sweets pair without masking flavors. Good teaching spot for pour‑over basics. Foot traffic is steady from the shopping district. Retail beans and papers are easy grab‑and‑go. Expect transparent, well‑timed extractions. A go‑to for manual‑brew fans downtown."
Holmes & Friends (Ari),"Neighborhood café in Ari with warm wood and quiet corners. Menu balances espresso standards and soft desserts. Attentive service and low music encourage longer sits. The crowd is local, creative and laptop‑friendly. Beans from Thai and regional roasters rotate. Simple savory plates support brunch‑length stays. Takeaway is quick during morning rush. Expect mellow energy through the day. A gentle, everyday café for Ari regulars. Consistent, friendly and relaxed."
Na‑Arun Coffee (Old Town),"Small Old Town café near temples with bright, fruity filters. Seats are few, so visits feel personal and calm. Manual brews highlight light roasts and clarity. Simple cakes appear in limited daily batches. Staff chat about origins and processing styles. Great as a pause on Rattanakosin walks. Air‑con gives respite from the mid‑day heat. Payment is quick and mostly cashless. Expect honest cups without frills. A neat, low‑key stop for coffee purists."
Woodbrook Café (Riverside),"A minimalist café tucked near the river with soft light and plants. Menu runs from neat espresso to balanced milk drinks. Window seats are prized for a calm, breezy feel. Baristas prioritize temperature control and texture. Pastries are small but well chosen. A good reading spot away from crowds. Music is gentle; conversations stay hushed. Expect steady regulars and polite service. A restorative stop between riverside strolls. Simple, thoughtful coffee done right."
Karo Coffee Roasters (Ladprao),"Compact roastery‑café in Ladprao with punchy espressos. Signature drinks add citrus, herbs and Thai fruits. Retail shelf features fresh drops weekly. Seating is brief; takeaway moves quickly. Baristas share brew ratios on request. Crowd skews local and repeat‑heavy. Expect a lively bar and quick chats. Parking is limited; rideshares help. A practical stop for beans and shots. Bold flavors in a no‑nonsense space."
Sunday Morning Café (Ari),"Bright, cozy Ari café with an all‑day breakfast tilt. Coffee program is consistent and milk‑friendly. House granola, eggs and toasts please regulars. Plants and light wood keep the room cheerful. Baristas are kind and conversational. Great for a calm, unhurried start. Takeaway cups are sturdy for walks. Expect a neighborly crowd most days. A reliable comfort café in Ari. Simple, good coffee with warmth."
Nikko Café (Ari),Japanese‑inspired neighborhood café with clean lines and soft colors. Coffee leans balanced; desserts are not overly sweet. Seats fill with locals reading or working. Menu includes matcha and light teas. Staff keep things gentle and attentive. A calm contrast to busier nearby spots. To‑go orders are quick and tidy. Expect a soft soundtrack and low voices. A soothing stop on an Ari walk. Minimalist design with friendly touches.
